# r- and r-s fractions from Prantzos 2020
# Nsun is from Lodders 2009
#z isotope element nsun sfrac rfrac
31 69 Ga 2.20E+01 0.653 0.347
31 71 Ga 1.46E+01 0.832 0.168
32 70 Ge 2.43E+01 1.000 0.000
32 72 Ge 3.17E+01 0.678 0.322
32 73 Ge 8.80E+00 0.548 0.452
32 74 Ge 4.12E+01 0.499 0.501
32 76 Ge 8.50E+00 0.247 0.753
33 75 As 6.10E+00 0.581 0.419
34 76 Se 6.32E+00 1.000 0.000
34 77 Se 5.15E+00 0.605 0.395
34 78 Se 1.60E+01 0.547 0.453
34 80 Se 3.35E+01 0.187 0.813
34 82 Se 5.89E+00 0.111 0.889
35 79 Br 5.43E+00 0.278 0.722
35 81 Br 5.28E+00 0.252 0.748
36 80 Kr 1.30E+00 1.000 0.000
36 82 Kr 6.51E+00 1.000 0.000
36 83 Kr 6.45E+00 0.291 0.709
36 84 Kr 3.18E+01 0.222 0.778
36 86 Kr 9.61E+00 0.677 0.323
37 85 Rb 5.12E+00 0.326 0.674
37 87 Rb 2.11E+00 0.960 0.040
38 86 Sr 2.30E+00 1.000 0.000
38 87 Sr 1.60E+00 1.000 0.000
38 88 Sr 1.92E+01 0.903 0.097
39 89 Y 4.63E+00 0.778 0.222
40 90 Zr 5.55E+00 0.807 0.193
40 91 Zr 1.21E+00 0.957 0.043
40 92 Zr 1.85E+00 0.745 0.255
40 94 Zr 1.87E+00 0.925 0.075
40 96 Zr 3.02E-01 0.291 0.709
41 93 Nb 7.80E-01 0.651 0.349
42 95 Mo 4.04E-01 0.479 0.521
42 96 Mo 4.25E-01 1.000 0.000
42 97 Mo 2.45E-01 0.563 0.437
42 98 Mo 6.22E-01 0.804 0.196
42 100 Mo 2.50E-01 0.038 0.962
44 99 Ru 2.27E-01 0.312 0.688
44 100 Ru 2.24E-01 1.000 0.000
44 101 Ru 3.04E-01 0.141 0.859
44 102 Ru 5.62E-01 0.476 0.524
44 104 Ru 3.32E-01 0.023 0.977
45 103 Rh 3.70E-01 0.122 0.878
46 104 Pd 1.51E-01 1.000 0.000
46 105 Pd 3.03E-01 0.129 0.871
46 106 Pd 3.71E-01 0.510 0.490
46 108 Pd 3.59E-01 0.625 0.375
46 110 Pd 1.59E-01 0.044 0.956
47 107 Ag 2.54E-01 0.134 0.866
47 109 Ag 2.36E-01 0.286 0.714
48 110 Cd 1.97E-01 1.000 0.000
48 111 Cd 2.01E-01 0.321 0.679
48 112 Cd 3.80E-01 0.575 0.425
48 113 Cd 1.92E-01 0.365 0.635
48 114 Cd 4.52E-01 0.693 0.307
48 116 Cd 1.18E-01 0.087 0.913
49 115 In 1.70E-01 0.391 0.609
50 116 Sn 5.24E-01 1.000 0.000
50 117 Sn 2.77E-01 0.501 0.499
50 118 Sn 8.73E-01 0.728 0.272
50 119 Sn 3.09E-01 0.618 0.382
50 120 Sn 1.18E+00 0.850 0.150
50 122 Sn 1.67E-01 0.101 0.899
50 124 Sn 2.09E-01 0.008 0.992
51 121 Sb 1.79E-01 0.393 0.607
51 123 Sb 1.34E-01 0.051 0.949
52 122 Te 1.22E-01 1.000 0.000
52 123 Te 4.30E-02 1.000 0.000
52 124 Te 2.26E-01 1.000 0.000
52 125 Te 3.35E-01 0.269 0.731
52 126 Te 8.89E-01 0.474 0.526
52 128 Te 1.49E+00 0.026 0.974
52 130 Te 1.58E+00 0.004 0.996
53 127 I 1.10E+00 0.032 0.968
54 128 Xe 1.22E-01 1.000 0.000
54 129 Xe 1.50E+00 0.030 0.970
54 130 Xe 2.39E-01 1.000 0.000
54 131 Xe 1.19E+00 0.055 0.945
54 132 Xe 1.44E+00 0.353 0.647
54 134 Xe 5.27E-01 0.028 0.972
54 136 Xe 4.29E-01 0.001 0.999
55 133 Cs 3.71E-01 0.157 0.843
56 134 Ba 1.08E-01 1.000 0.000
56 135 Ba 2.95E-01 0.249 0.751
56 136 Ba 3.51E-01 1.000 0.000
56 137 Ba 5.02E-01 0.647 0.353
56 138 Ba 3.21E+00 0.959 0.041
57 139 La 4.57E-01 0.800 0.200
58 140 Ce 1.04E+00 0.935 0.065
58 142 Ce 1.31E-01 0.126 0.874
59 141 Pr 1.72E-01 0.535 0.465
60 142 Nd 2.31E-01 1.000 0.000
60 143 Nd 1.03E-01 0.377 0.623
60 144 Nd 2.03E-01 0.565 0.435
60 145 Nd 7.50E-02 0.297 0.703
60 146 Nd 1.47E-01 0.699 0.301
60 148 Nd 4.90E-02 0.156 0.844
60 150 Nd 4.80E-02 0.003 0.997
62 147 Sm 4.10E-02 0.234 0.766
62 148 Sm 3.00E-02 1.000 0.000
62 149 Sm 3.70E-02 0.121 0.879
62 150 Sm 2.00E-02 1.000 0.000
62 152 Sm 7.10E-02 0.268 0.732
62 154 Sm 6.00E-02 0.049 0.951
63 151 Eu 4.71E-02 0.047 0.953
63 153 Eu 5.14E-02 0.050 0.950
64 154 Gd 7.80E-03 1.000 0.000
64 155 Gd 5.33E-02 0.057 0.943
64 156 Gd 7.36E-02 0.206 0.794
64 157 Gd 5.63E-02 0.097 0.903
64 158 Gd 8.94E-02 0.308 0.692
64 160 Gd 7.87E-02 0.022 0.978
65 159 Tb 6.34E-02 0.072 0.928
66 160 Dy 9.40E-03 1.000 0.000
66 161 Dy 7.62E-02 0.046 0.954
66 162 Dy 1.03E-01 0.159 0.841
66 163 Dy 1.01E-01 0.046 0.954
66 164 Dy 1.14E-01 0.243 0.757
67 165 Ho 9.10E-02 0.074 0.926
68 166 Er 8.80E-02 0.134 0.866
68 167 Er 6.00E-02 0.088 0.912
68 168 Er 7.10E-02 0.367 0.633
68 170 Er 3.90E-02 0.126 0.874
69 169 Tm 4.06E-02 0.128 0.872
70 170 Yb 7.60E-03 1.000 0.000
70 171 Yb 3.61E-02 0.226 0.774
70 172 Yb 5.56E-02 0.454 0.546
70 173 Yb 4.13E-02 0.305 0.695
70 174 Yb 8.21E-02 0.635 0.365
70 176 Yb 3.33E-02 0.115 0.885
71 175 Lu 3.70E-02 0.176 0.824
